X,CH1,
Second,Volt,
0.00E+00,0.00E+00,
2.00E-05,1.26E-02,
4.00E-05,2.52E-02,
6.00E-05,1.26E-02,
8.00E-05,2.52E-02,
1.00E-04,1.26E-02,
1.20E-04,2.52E-02,
1.40E-04,2.52E-02,
1.60E-04,2.52E-02,
1.80E-04,1.26E-02,
2.00E-04,2.52E-02,
2.20E-04,1.26E-02,
2.40E-04,1.26E-02,
2.60E-04,3.78E-02,
2.80E-04,2.52E-02,
3.00E-04,2.52E-02,
3.20E-04,2.52E-02,
3.40E-04,2.52E-02,
3.60E-04,2.52E-02,
3.80E-04,1.26E-02,
4.00E-04,3.78E-02,
4.20E-04,2.52E-02,
4.40E-04,2.52E-02,
4.60E-04,2.52E-02,
4.80E-04,3.78E-02,
5.00E-04,3.78E-02,
5.20E-04,2.52E-02,
5.40E-04,3.78E-02,
5.60E-04,3.78E-02,
5.80E-04,3.78E-02,
6.00E-04,3.78E-02,
6.20E-04,3.78E-02,
6.40E-04,3.78E-02,
6.60E-04,5.04E-02,
6.80E-04,5.04E-02,
7.00E-04,5.04E-02,
7.20E-04,5.04E-02,
7.40E-04,5.04E-02,
7.60E-04,7.55E-02,
7.80E-04,7.55E-02,
8.00E-04,7.55E-02,
8.20E-04,7.55E-02,
8.40E-04,8.81E-02,
8.60E-04,8.81E-02,
8.80E-04,1.01E-01,
9.00E-04,1.01E-01,
9.20E-04,1.26E-01,
9.40E-04,1.26E-01,
9.60E-04,1.39E-01,
9.80E-04,1.39E-01,
1.00E-03,1.51E-01,
1.02E-03,1.51E-01,
1.04E-03,1.64E-01,
1.06E-03,1.64E-01,
1.08E-03,1.89E-01,
1.10E-03,1.89E-01,
1.12E-03,2.14E-01,
1.14E-03,2.14E-01,
1.16E-03,2.27E-01,
1.18E-03,2.39E-01,
1.20E-03,2.65E-01,
1.22E-03,2.65E-01,
1.24E-03,2.77E-01,
1.26E-03,2.90E-01,
1.28E-03,3.02E-01,
1.30E-03,3.02E-01,
1.32E-03,3.28E-01,
1.34E-03,3.40E-01,
1.36E-03,3.53E-01,
1.38E-03,3.65E-01,
1.40E-03,3.91E-01,
1.42E-03,3.91E-01,
1.44E-03,4.16E-01,
1.46E-03,4.28E-01,
1.48E-03,4.54E-01,
1.50E-03,4.41E-01,
1.52E-03,4.79E-01,
1.54E-03,4.79E-01,
1.56E-03,5.17E-01,
1.58E-03,5.17E-01,
1.60E-03,5.42E-01,
1.62E-03,5.54E-01,
1.64E-03,5.80E-01,
1.66E-03,5.80E-01,
1.68E-03,6.05E-01,
1.70E-03,6.17E-01,
1.72E-03,6.43E-01,
1.74E-03,6.55E-01,
1.76E-03,6.68E-01,
1.78E-03,6.80E-01,
1.80E-03,7.06E-01,
1.82E-03,7.18E-01,
1.84E-03,7.56E-01,
1.86E-03,7.56E-01,
1.88E-03,7.81E-01,
1.90E-03,7.94E-01,
1.92E-03,8.32E-01,
1.94E-03,8.44E-01,
1.96E-03,8.57E-01,
1.98E-03,8.69E-01,
2.00E-03,9.07E-01,
2.02E-03,9.07E-01,
2.04E-03,9.32E-01,
2.06E-03,9.45E-01,
2.08E-03,9.83E-01,
2.10E-03,9.83E-01,
2.12E-03,1.01E+00,
2.14E-03,1.02E+00,
2.16E-03,1.05E+00,
2.18E-03,1.07E+00,
2.20E-03,1.10E+00,
2.22E-03,1.10E+00,
2.24E-03,1.13E+00,
2.26E-03,1.13E+00,
2.28E-03,1.16E+00,
2.30E-03,1.16E+00,
2.32E-03,1.21E+00,
2.34E-03,1.21E+00,
2.36E-03,1.23E+00,
2.38E-03,1.25E+00,
2.40E-03,1.27E+00,
2.42E-03,1.29E+00,
2.44E-03,1.31E+00,
2.46E-03,1.34E+00,
2.48E-03,1.32E+00,
2.50E-03,1.34E+00,
2.52E-03,1.37E+00,
2.54E-03,1.39E+00,
2.56E-03,1.40E+00,
2.58E-03,1.41E+00,
2.60E-03,1.44E+00,
2.62E-03,1.45E+00,
2.64E-03,1.47E+00,
2.66E-03,1.47E+00,
2.68E-03,1.50E+00,
2.70E-03,1.50E+00,
2.72E-03,1.52E+00,
2.74E-03,1.54E+00,
2.76E-03,1.56E+00,
2.78E-03,1.58E+00,
2.80E-03,1.59E+00,
2.82E-03,1.60E+00,
2.84E-03,1.61E+00,
2.86E-03,1.63E+00,
2.88E-03,1.65E+00,
2.90E-03,1.65E+00,
2.92E-03,1.66E+00,
2.94E-03,1.68E+00,
2.96E-03,1.70E+00,
2.98E-03,1.70E+00,
3.00E-03,1.73E+00,
3.02E-03,1.74E+00,
3.04E-03,1.76E+00,
3.06E-03,1.75E+00,
3.08E-03,1.79E+00,
