X,CH1,
Second,Volt,
0,0.035,
0.000002,0.0409,
0.00000399,0.0467,
0.000006,0.0642,
0.000008,0.07,
0.00001,0.0759,
0.000012,0.0817,
0.000014,0.0876,
0.000016,0.0934,
0.000018,0.105,
0.00002,0.111,
0.000022,0.117,
0.000024,0.128,
0.000026,0.134,
0.000028,0.14,
0.00003,0.146,
0.000032,0.158,
0.000034,0.164,
0.000036,0.169,
0.000038,0.175,
0.00004,0.187,
0.000042,0.187,
0.000044,0.193,
0.000046,0.199,
0.000048,0.204,
0.00005,0.21,
0.000052,0.216,
0.000054,0.228,
0.000056,0.228,
0.000058,0.234,
0.00006,0.239,
0.000062,0.245,
0.000064,0.251,
0.000066,0.263,
0.000068,0.269,
0.00007,0.269,
0.000072,0.274,
0.000074,0.274,
0.000076,0.292,
0.000078,0.292,
0.00008,0.298,
0.000082,0.304,
0.000084,0.315,
0.000086,0.315,
0.000088,0.315,
0.00009,0.321,
0.000092,0.333,
0.000094,0.333,
0.000096,0.339,
0.000098,0.345,
0.0001,0.35,
0.000102,0.356,
0.000104,0.356,
0.000106,0.362,
0.000108,0.362,
0.00011,0.374,
0.000112,0.385,
0.000114,0.391,
0.000116,0.391,
0.000118,0.397,
0.00012,0.397,
0.000122,0.403,
0.000124,0.415,
0.000126,0.415,
0.000128,0.415,
0.00013,0.42,
0.000132,0.426,
0.000134,0.432,
0.000136,0.438,
0.000138,0.438,
0.00014,0.444,
0.000142,0.45,
0.000144,0.444,
0.000146,0.45,
0.000148,0.461,
0.00015,0.473,
0.000152,0.467,
0.000154,0.467,
0.000156,0.479,
0.000158,0.479,
0.00016,0.479,
0.000162,0.496,
0.000164,0.496,
0.000166,0.502,
0.000168,0.502,
0.00017,0.502,
0.000172,0.502,
0.000174,0.514,
0.000176,0.52,
0.000178,0.52,
0.00018,0.526,
0.000182,0.526,
0.000184,0.531,
0.000186,0.543,
0.000188,0.543,
0.00019,0.543,
0.000192,0.543,
0.000194,0.549,
0.000196,0.555,
0.000198,0.555,
0.0002,0.561,
0.000202,0.566,
0.000204,0.566,
0.000206,0.566,
0.000208,0.578,
0.00021,0.572,
0.000212,0.578,
0.000214,0.584,
0.000216,0.584,
0.000218,0.59,
0.00022,0.59,
0.000222,0.596,
0.000224,0.602,
0.000226,0.607,
0.000228,0.607,
0.00023,0.607,
0.000232,0.607,
0.000234,0.613,
0.000236,0.625,
0.000238,0.619,
0.00024,0.625,
0.000242,0.625,
0.000244,0.625,
0.000246,0.631,
0.000248,0.642,
0.00025,0.637,
0.000252,0.642,
0.000254,0.648,
0.000256,0.648,
0.000258,0.648,
0.00026,0.648,
0.000262,0.654,
0.000264,0.654,
0.000266,0.66,
0.000268,0.666,
0.00027,0.666,
0.000272,0.666,
0.000274,0.677,
0.000276,0.672,
0.000278,0.666,
0.00028,0.683,
0.000282,0.683,
0.000284,0.677,
0.000286,0.683,
0.000288,0.689,
0.00029,0.689,
0.000292,0.701,
0.000294,0.695,
0.000296,0.689,
0.000298,0.701,
0.0003,0.707,
0.000302,0.707,
0.000304,0.707,
0.000306,0.712,
0.000308,0.707,
0.00031,0.707,
0.000312,0.718,
0.000314,0.724,
0.000316,0.724,
0.000318,0.73,
0.00032,0.73,
0.000322,0.73,
0.000324,0.736,
0.000326,0.73,
0.000328,0.736,
0.00033,0.736,
0.000332,0.742,
0.000334,0.736,
0.000336,0.742,
0.000338,0.742,
0.00034,0.742,
0.000342,0.753,
0.000344,0.753,
0.000346,0.748,
0.000348,0.753,
0.00035,0.753,
0.000352,0.759,
0.000354,0.759,
0.000356,0.759,
0.000358,0.765,
0.00036,0.765,
0.000362,0.771,
0.000364,0.771,
0.000366,0.765,
0.000368,0.771,
0.00037,0.771,
