X,CH1,
Second,Volt,
0.00E+00,9.48E-02,
5.00E-06,1.01E-01,
1.00E-05,9.48E-02,
1.50E-05,1.07E-01,
2.00E-05,1.01E-01,
2.50E-05,1.07E-01,
3.00E-05,1.07E-01,
3.50E-05,1.07E-01,
4.00E-05,1.14E-01,
4.50E-05,1.14E-01,
5.00E-05,1.20E-01,
5.50E-05,1.20E-01,
6.00E-05,1.26E-01,
6.50E-05,1.33E-01,
7.00E-05,1.33E-01,
7.50E-05,1.45E-01,
8.00E-05,1.52E-01,
8.50E-05,1.58E-01,
9.00E-05,1.58E-01,
9.50E-05,1.64E-01,
1.00E-04,1.77E-01,
1.05E-04,1.83E-01,
1.10E-04,1.83E-01,
1.15E-04,2.02E-01,
1.20E-04,2.02E-01,
1.25E-04,2.15E-01,
1.30E-04,2.21E-01,
1.35E-04,2.28E-01,
1.40E-04,2.34E-01,
1.45E-04,2.46E-01,
1.50E-04,2.46E-01,
1.55E-04,2.59E-01,
1.60E-04,2.72E-01,
1.65E-04,2.72E-01,
1.70E-04,2.84E-01,
1.75E-04,2.91E-01,
1.80E-04,3.03E-01,
1.85E-04,3.16E-01,
1.90E-04,3.22E-01,
1.95E-04,3.41E-01,
2.00E-04,3.41E-01,
2.05E-04,3.60E-01,
2.10E-04,3.60E-01,
2.15E-04,3.73E-01,
2.20E-04,3.79E-01,
2.25E-04,3.86E-01,
2.30E-04,3.98E-01,
2.35E-04,4.04E-01,
2.40E-04,4.23E-01,
2.45E-04,4.30E-01,
2.50E-04,4.49E-01,
2.55E-04,4.49E-01,
2.60E-04,4.55E-01,
2.65E-04,4.74E-01,
2.70E-04,4.80E-01,
2.75E-04,4.93E-01,
2.80E-04,5.06E-01,
2.85E-04,5.12E-01,
2.90E-04,5.25E-01,
2.95E-04,5.44E-01,
3.00E-04,5.44E-01,
3.05E-04,5.62E-01,
3.10E-04,5.75E-01,
3.15E-04,5.81E-01,
3.20E-04,5.88E-01,
3.25E-04,6.00E-01,
3.30E-04,6.13E-01,
3.35E-04,6.26E-01,
3.40E-04,6.32E-01,
3.45E-04,6.45E-01,
3.50E-04,6.57E-01,
3.55E-04,6.64E-01,
3.60E-04,6.76E-01,
3.65E-04,6.76E-01,
3.70E-04,7.02E-01,
3.75E-04,7.02E-01,
3.80E-04,7.20E-01,
3.85E-04,7.20E-01,
3.90E-04,7.33E-01,
3.95E-04,7.39E-01,
4.00E-04,7.52E-01,
4.05E-04,7.58E-01,
4.10E-04,7.65E-01,
4.15E-04,7.71E-01,
4.20E-04,7.90E-01,
4.25E-04,7.90E-01,
4.30E-04,8.09E-01,
4.35E-04,8.15E-01,
4.40E-04,8.22E-01,
4.45E-04,8.28E-01,
4.50E-04,8.34E-01,
4.55E-04,8.53E-01,
4.60E-04,8.60E-01,
4.65E-04,8.60E-01,
4.70E-04,8.66E-01,
4.75E-04,8.72E-01,
4.80E-04,8.72E-01,
4.85E-04,8.78E-01,
4.90E-04,8.78E-01,
4.95E-04,8.78E-01,
5.00E-04,8.97E-01,
5.05E-04,9.10E-01,
5.10E-04,9.23E-01,
5.15E-04,9.23E-01,
5.20E-04,9.35E-01,
5.25E-04,9.35E-01,
5.30E-04,9.48E-01,
5.35E-04,9.48E-01,
5.40E-04,9.61E-01,
5.45E-04,9.73E-01,
5.50E-04,9.73E-01,
5.55E-04,9.80E-01,
5.60E-04,9.86E-01,
5.65E-04,9.92E-01,
5.70E-04,9.92E-01,
5.75E-04,1.01E+00,
5.80E-04,1.01E+00,
5.85E-04,1.02E+00,
5.90E-04,1.02E+00,
5.95E-04,1.02E+00,
6.00E-04,1.03E+00,
6.05E-04,1.04E+00,
6.10E-04,1.04E+00,
6.15E-04,1.04E+00,
6.20E-04,1.05E+00,
6.25E-04,1.06E+00,
6.30E-04,1.06E+00,
6.35E-04,1.06E+00,
6.40E-04,1.07E+00,
6.45E-04,1.07E+00,
6.50E-04,1.08E+00,
6.55E-04,1.07E+00,
6.60E-04,1.08E+00,
6.65E-04,1.08E+00,
6.70E-04,1.09E+00,
6.75E-04,1.09E+00,
6.80E-04,1.10E+00,
6.85E-04,1.10E+00,
6.90E-04,1.10E+00,
6.95E-04,1.11E+00,
7.00E-04,1.11E+00,
7.05E-04,1.11E+00,
7.10E-04,1.11E+00,
7.15E-04,1.11E+00,
7.20E-04,1.12E+00,
