X,CH1
Second,Volt,
2.00e-05,8.40e-03
4.00e-05,0.00e+00
6.00e-05,8.40e-03
8.00e-05,0.00e+00
1.00e-04,0.00e+00
1.20e-04,8.40e-03
1.40e-04,8.40e-03
1.60e-04,8.40e-03
1.80e-04,0.00e+00
2.00e-04,1.68e-02
2.20e-04,1.68e-02
2.40e-04,1.68e-02
2.60e-04,1.68e-02
2.80e-04,1.68e-02
3.00e-04,2.52e-02
3.20e-04,3.36e-02
3.40e-04,3.36e-02
3.60e-04,3.36e-02
3.80e-04,4.20e-02
4.00e-04,5.04e-02
4.20e-04,5.04e-02
4.40e-04,5.88e-02
4.60e-04,5.88e-02
4.80e-04,6.71e-02
5.00e-04,7.55e-02
5.20e-04,8.39e-02
5.40e-04,9.23e-02
5.60e-04,9.23e-02
5.80e-04,1.01e-01
6.00e-04,1.09e-01
6.20e-04,1.18e-01
6.40e-04,1.34e-01
6.60e-04,1.43e-01
6.80e-04,1.51e-01
7.00e-04,1.51e-01
7.20e-04,1.68e-01
7.40e-04,1.85e-01
7.60e-04,1.93e-01
7.80e-04,2.02e-01
8.00e-04,2.10e-01
8.20e-04,2.27e-01
8.40e-04,2.35e-01
8.60e-04,2.44e-01
8.80e-04,2.60e-01
9.00e-04,2.77e-01
9.20e-04,2.77e-01
9.40e-04,2.94e-01
9.60e-04,3.11e-01
9.80e-04,3.28e-01
1.00e-03,3.36e-01
1.02e-03,3.53e-01
1.04e-03,3.61e-01
1.06e-03,3.70e-01
1.08e-03,3.95e-01
1.10e-03,4.03e-01
1.12e-03,4.20e-01
1.14e-03,4.37e-01
1.16e-03,4.54e-01
1.18e-03,4.54e-01
1.20e-03,4.87e-01
1.22e-03,4.87e-01
1.24e-03,5.12e-01
1.26e-03,5.21e-01
1.28e-03,5.46e-01
1.30e-03,5.54e-01
1.32e-03,5.71e-01
1.34e-03,5.88e-01
1.36e-03,6.05e-01
1.38e-03,6.05e-01
1.40e-03,6.30e-01
1.42e-03,6.38e-01
1.44e-03,6.64e-01
1.46e-03,6.72e-01
1.48e-03,6.97e-01
1.50e-03,7.14e-01
1.52e-03,7.31e-01
1.54e-03,7.48e-01
1.56e-03,7.56e-01
1.58e-03,7.81e-01
1.60e-03,7.81e-01
1.62e-03,8.06e-01
1.64e-03,8.15e-01
1.66e-03,8.23e-01
