"FREQ","Out"
10,0.0166431
12.58925412,0.0266683
15.84893192,0.0425072
19.95262315,0.0674829
25.11886432,0.10674
31.6227766,0.168105
39.81071706,0.263097
50.11872336,0.407457
63.09573445,0.618636
79.43282347,0.900794
100,1.18523
125.8925412,1.15044
158.4893192,0.00344414
199.5262315,-2.88354
251.1886432,-7.00695
316.227766,-11.7133
398.1071706,-16.9283
501.1872336,-22.8789
630.9573445,-29.6633
794.3282347,-37.0848
1000,-44.8557
1258.925412,-52.7806
1584.893192,-60.7645
1995.262315,-68.7685
2511.886432,-76.7788
3162.27766,-84.7915
3981.071706,-92.8062
5011.872336,-100.822
6309.573445,-108.829
7943.282347,-116.781
10000,-124.487
