"TIME","U2:A(OP)"
0.4,0.142967
0.4000001,0.145601
0.4000003,0.150521
0.4000004209,0.152173
0.400000573,0.153075
0.4000007351,0.15364
0.4000009133,0.154364
0.400001,0.154773
0.4000010167,0.15475
0.4000010502,0.154369
0.4000010827,0.153571
0.4000011231,0.152291
0.4000011654,0.151017
0.4000012107,0.150038
0.4000012409,0.149653
0.4000012653,0.14949
0.4000012888,0.149434
0.4000013175,0.149459
0.4000013485,0.149554
0.4000014423,0.149973
0.4000022364,0.153684
0.4000171922,0.223576
0.4000323679,0.294442
0.4000627193,0.435838
0.4001234222,0.716192
0.400244828,1.25995
0.4004876396,2.23454
0.4007396586,3.02404
0.4009987897,3.53507
0.4012664792,3.69522
0.4016230212,3.33047
0.4019444608,2.5369
0.4022352295,1.58917
0.4025341865,0.585971
0.4028043938,-0.179601
0.4030964646,-0.694316
0.403363043,-0.794909
0.4036525384,-0.481028
0.4039521801,0.239928
0.4042839668,1.31652
0.4045872043,2.33796
0.4048970884,3.18555
0.4052067355,3.64733
0.4055185009,3.61998
0.4058305938,3.10433
0.4061316368,2.24912
0.4064158798,1.27633
0.4067037519,0.31909
0.4069973784,-0.434749
0.4072781235,-0.806733
0.4075794643,-0.7448
0.4078801542,-0.222464
0.4082244592,0.784857
0.4085313119,1.84375
0.4088271344,2.78959
0.4091274026,3.47084
0.4094320692,3.72805
0.4097284613,3.50563
0.4100320142,2.8414
0.4103200078,1.92694
0.4106174011,0.883273
0.4108951842,0.00181524
0.4111894373,-0.64772
0.4114627551,-0.876238
0.4117513814,-0.67619
0.4120476304,-0.0416126
0.4124153642,1.12965
0.4127276114,2.21647
0.4130472066,3.1499
0.4133451632,3.666
0.4136509519,3.7214
0.4139715909,3.25278
0.4142883477,2.36964
0.4145773629,1.36448
0.4148707165,0.355982
0.4151607904,-0.431567
0.4154441045,-0.849516
0.4157419008,-0.825411
0.4160469116,-0.316559
0.4163809278,0.662446
0.4166889492,1.74964
0.4169851218,2.73896
0.417286482,3.47542
0.4175928205,3.78473
0.4178906298,3.59702
0.4181958338,2.94477
0.4184857036,2.01746
0.4187845365,0.942773
0.4190639297,0.0210257
0.4193595001,-0.671198
0.4196342357,-0.932478
0.4199239455,-0.752668
0.4202213566,-0.120351
0.4205841318,1.05149
0.4208952769,2.16582
0.4212150555,3.143
0.4215096491,3.69751
0.4218158634,3.79361
0.4221398117,3.34318
0.4224484174,2.48411
0.4227360066,1.4664
0.4230292942,0.420756
0.4233157474,-0.408657
0.4236010737,-0.885204
0.4238936749,-0.914129
0.4242050524,-0.43102
0.4245248072,0.497493
0.4248376851,1.62234
0.4251335833,2.65724
0.4254371016,3.46236
0.4257481567,3.83905
0.426080707,3.6514
0.4263829333,2.99058
0.4266734768,2.04042
0.426974111,0.933903
0.4272527003,-0.00783764
0.4275491587,-0.719956
0.4278238527,-0.98848
0.4281129754,-0.806498
0.4284106207,-0.160401
0.4287712625,1.03106
0.4290818582,2.17077
0.4294013082,3.17393
0.4296958509,3.74707
0.4300021583,3.85202
0.4303267212,3.39578
0.4306340111,2.52383
0.4309215768,1.48339
0.4312148227,0.411263
0.4315047975,-0.450343
0.4317899869,-0.939389
0.4320886165,-0.966557
0.4323990391,-0.467262
0.4327219163,0.496828
0.4330349479,1.64976
0.4333313332,2.70683
0.4336347411,3.52228
0.4339448701,3.89648
0.4342462609,3.73744
0.4345533447,3.07922
0.4348451667,2.11532
0.4351454848,0.983446
0.4354262478,0.000899067
0.4357230383,-0.748481
0.4359989429,-1.04625
0.4362888069,-0.880913
0.4365873491,-0.234298
0.4369410039,0.952027
0.4372500398,2.11789
0.437569229,3.16469
0.4378640377,3.78129
0.4381712351,3.92285
0.4384992848,3.48011
0.4388000002,2.62492
0.4390864157,1.57067
0.4393795818,0.463763
0.4396671637,-0.437161
0.4399538549,-0.977244
0.4402492348,-1.04806
0.4405645652,-0.568622
0.440876877,0.360497
0.4411940944,1.54973
0.4414916709,2.65178
0.4417965466,3.52349
0.442111667,3.95216
0.4424374905,3.79273
0.4427426728,3.12116
0.4430349332,2.1327
0.4433365639,0.969058
0.4436166987,-0.0342015
0.4439140708,-0.801966
0.4441898574,-1.10532
0.4444790413,-0.935688
0.4447777074,-0.273181
0.4451276867,0.928595
0.4454358708,2.12006
0.4457544549,3.19419
0.4460490882,3.8318
0.4463563225,3.9848
0.4466850383,3.53789
0.4469841894,2.6716
0.4472704966,1.59455
0.4475636118,0.459417
0.4478540524,-0.475724
0.4481406997,-1.03246
0.4484410181,-1.10652
0.4487558905,-0.613407
0.4490700835,0.345715
0.449387751,1.56564
0.4496857353,2.69325
0.4499906456,3.58086
0.45,3.60361
