"TIME","U2:A(OP)"
0.4,-1.08075
0.4000001,-1.07849
0.4000003,-1.07433
0.4000004184,-1.07314
0.4000005745,-1.07278
0.4000009171,-1.07274
0.4000010169,-1.07274
0.4000010506,-1.07325
0.4000010832,-1.07417
0.4000011662,-1.07702
0.4000012131,-1.07818
0.4000012673,-1.0789
0.40000132,-1.07911
0.4000016745,-1.07883
0.4000075443,-1.07301
0.400024997,-1.05534
0.4000482673,-1.03096
0.4000948078,-0.979451
0.4001878888,-0.866072
0.4003740509,-0.601522
0.400746375,0.0542178
0.4011670274,0.929927
0.4015504449,1.75401
0.4019187304,2.45161
0.4022986729,2.94851
0.4027331985,3.11686
0.4031229711,2.87151
0.4035258229,2.27361
0.4039114649,1.49014
0.4042778692,0.698149
0.4046485516,0.00454405
0.4050016964,-0.434023
0.4053547021,-0.5746
0.4057666647,-0.332117
0.4061402892,0.219088
0.4065790926,1.11107
0.4069745257,1.96128
0.4073799033,2.68153
0.4077585551,3.07472
0.4081496611,3.10941
0.4085607537,2.73353
0.4089738189,2.02012
0.4093548241,1.20172
0.4097286733,0.409333
0.4100890306,-0.199966
0.410457016,-0.546731
0.4107979895,-0.561015
0.4112062178,-0.18798
0.4116072869,0.50699
0.4120320482,1.42152
0.4124178929,2.23163
0.4128163458,2.86417
0.4132010594,3.14996
0.4135801937,3.05931
0.413978092,2.58649
0.4143501748,1.88135
0.4147267446,1.04856
0.4151024526,0.260731
0.4154567047,-0.305355
0.4158225352,-0.599024
0.4161890349,-0.541295
0.4165806395,-0.104731
0.4170208039,0.722042
0.4174251464,1.61742
0.4178079077,2.40335
0.4182000269,2.97437
0.4186130653,3.18749
0.4190021138,2.98162
0.419399259,2.40815
0.4197866042,1.61131
0.4201550262,0.783205
0.4205285949,0.0371716
0.420878975,-0.449181
0.4212365948,-0.640201
0.4216454262,-0.439664
0.4220225877,0.100787
0.4224709477,1.02438
0.4228697808,1.91425
0.423279167,2.68405
0.4236602337,3.1175
0.4240584157,3.17894
0.424474034,2.80535
0.4248810577,2.09154
0.4252650291,1.24395
0.4256376551,0.423052
0.4259998326,-0.221639
0.4263687877,-0.597312
0.4267162149,-0.626441
0.4271260952,-0.251287
0.4275245571,0.453898
0.4279557047,1.40903
0.4283442621,2.25206
0.4287440046,2.90978
0.4291321747,3.20925
0.4295121919,3.11584
0.4299110942,2.62659
0.4303205906,1.82188
0.4306933797,0.971498
0.4310770089,0.157613
0.4314283168,-0.394888
0.4317928569,-0.663802
0.4321805218,-0.55451
0.4325659877,-0.0666382
0.4330312442,0.864483
0.4334348265,1.78253
0.4338578485,2.62183
0.434242571,3.10936
0.4346555199,3.21976
0.4350799549,2.86617
0.4354768145,2.18148
0.4358665749,1.31764
0.4362277895,0.500992
0.4365939862,-0.185198
0.4369625418,-0.600745
0.4373087012,-0.668193
0.4377259169,-0.320188
0.438109311,0.342326
0.438534903,1.28885
0.4389247328,2.16226
0.4393243058,2.86691
0.4396986722,3.2163
0.4400771791,3.18925
0.4404778883,2.75092
0.4408521791,2.04272
0.441232547,1.17042
0.4416114619,0.320998
0.4419699797,-0.313519
0.4423393308,-0.669457
0.4427069486,-0.656101
0.4431052677,-0.233161
0.4435290897,0.572367
0.4439382515,1.51624
0.4443211774,2.35913
0.4447159473,3.00031
0.4451196334,3.27496
0.4455058237,3.12133
0.4459042879,2.56887
0.4462963898,1.74985
0.4466679172,0.875136
0.4470453027,0.0642314
0.4473950284,-0.479791
0.4477566531,-0.726568
0.4481657941,-0.565142
0.4485456417,-0.0308795
0.4490268988,0.985605
0.4494333849,1.93047
0.4498504184,2.74804
0.4502343279,3.20052
0.4506327743,3.26032
0.451049961,2.86437
0.4514579509,2.11412
0.4518420127,1.22837
0.452227386,0.348237
0.4525882242,-0.309913
0.4529594516,-0.687386
0.4533255936,-0.690576
0.4537278817,-0.273354
0.4541448029,0.519089
0.4545613048,1.48892
0.4549501859,2.3579
0.455,2.46346
