"TIME","U1:D(OP)"
0.4,-4.19426
0.4000001,-4.19209
0.4000003,-4.18845
0.4000004307,-4.18774
0.400001013,-4.18919
0.4000010718,-4.19066
0.4000011521,-4.19394
0.4000012327,-4.19593
0.4000013438,-4.19651
0.4000064139,-4.20483
0.4000208357,-4.22668
0.4000400648,-4.25166
0.4000785231,-4.28739
0.4001554396,-4.30225
0.4003092727,-4.11305
0.4006169388,-2.96687
0.4007752686,-2.02593
0.4008571216,-1.4585
0.4008995862,-1.145
0.400917446,-1.00958
0.4009279559,-0.928953
0.4009361804,-0.865416
0.4009440492,-0.804277
0.4009597867,-0.681007
0.4009912618,-0.430753
0.401054212,0.0823749
0.4011801123,1.13872
0.401431913,3.19118
0.4016822466,4.88342
0.4017922423,5.46472
0.4018931946,5.87983
0.4019436335,6.04016
0.4020114519,6.20165
0.4020751896,6.29517
0.4021579939,6.33144
0.4023015529,6.17094
0.4024096378,5.8704
0.4025014632,5.50077
0.4025512644,5.25851
0.4025716531,5.15114
0.4025850686,5.07798
0.4025959299,5.01734
0.4026057524,4.96143
0.4026253976,4.84664
0.4026646879,4.60566
0.4027432684,4.08236
0.4029004295,2.9106
0.4031233648,1.12216
0.4033758469,-0.784788
0.4033931325,-0.908744
0.4034277038,-1.15081
0.4034374976,-1.21779
0.4034452883,-1.27053
0.4034496398,-1.29975
0.4034578837,-1.35466
0.4034656328,-1.4057
0.403478755,-1.49085
0.4035029114,-1.6432
0.4035449208,-1.89388
0.4036036009,-2.21175
0.403655985,-2.46203
0.4037129152,-2.69649
0.4037789902,-2.91784
0.4039111402,-3.19312
0.4041754402,-3.09854
0.4043864636,-2.45772
0.4045224501,-1.80789
0.404606986,-1.32108
0.4046397966,-1.11636
0.4046563005,-1.01029
0.4046628227,-0.967828
0.4046680914,-0.93331
0.404673672,-0.896544
0.4046800132,-0.854514
0.4046926956,-0.76967
0.4047180604,-0.596968
0.4047687899,-0.240603
0.4048702491,0.50622
0.4050731673,2.04799
0.4053193316,3.7843
0.4055794733,5.17071
0.4056899463,5.57346
0.4057798439,5.79871
0.4058740196,5.92506
0.4059786303,5.929
0.4061204115,5.70787
0.4062132918,5.42634
0.4062668755,5.2166
0.4062888045,5.12108
0.4063044323,5.04965
0.4063179381,4.98575
0.4063331796,4.91126
0.4063636627,4.75497
0.4064246288,4.41484
0.4065465611,3.64049
0.406770859,2.01375
0.4070012203,0.288507
0.4071546864,-0.782111
0.4072389635,-1.31479
0.4072838912,-1.57692
0.4073183456,-1.7655
0.4073545774,-1.95081
0.4074270408,-2.27786
0.4074732699,-2.45495
0.4075344049,-2.64977
0.4076296841,-2.86167
0.4078202425,-2.95242
0.4081375417,-2.2124
0.4082566397,-1.66988
0.4084018447,-0.848906
0.4084480547,-0.554286
0.4084701634,-0.408263
0.408490778,-0.269504
0.4085094043,-0.142146
0.4085360689,0.0431502
0.4085893982,0.422647
0.4086960568,1.20474
0.4089093739,2.75595
0.4091483663,4.26847
0.4093057921,5.03999
0.4093155808,5.08135
0.4093351582,5.16148
0.4093512766,5.22441
0.4093673099,5.28412
0.409379497,5.3275
0.409386651,5.35213
0.409400959,5.39955
0.4094242407,5.47135
