"FREQ","Out"
1,-0.000275668
1.258925412,-0.000275174
1.584893192,-0.000274391
1.995262315,-0.00027315
2.511886432,-0.000271185
3.16227766,-0.000268072
3.981071706,-0.000263143
5.011872336,-0.000255343
6.309573445,-0.00024301
7.943282347,-0.000223538
10,-0.000192863
12.58925412,-0.000144713
15.84893192,-6.95742e-005
19.95262315,4.65637e-005
25.11886432,0.000223222
31.6227766,0.000484598
39.81071706,0.000852097
50.11872336,0.00131707
63.09573445,0.00175885
79.43282347,0.00171739
100,-0.000210818
125.8925412,-0.00793669
158.4893192,-0.031833
199.5262315,-0.0983881
251.1886432,-0.272026
316.227766,-0.695392
398.1071706,-1.62606
501.1872336,-3.36311
630.9573445,-6.00139
794.3282347,-9.32648
1000,-13.035
1258.925412,-16.9195
1584.893192,-20.8772
1995.262315,-24.8636
2511.886432,-28.8615
3162.27766,-32.8644
3981.071706,-36.8705
5011.872336,-40.8803
6309.573445,-44.8954
7943.282347,-48.9189
10000,-52.9552
